UF,Ano,Grupo,Medida,N_universo,N_com_registro,N_sem_registro,Media_pct,Mediana_pct,P90_pct,P95_pct,P99_pct,Max_pct,N_ge10,Pct_ge10,N_ge50,Pct_ge50,N_ge80,Pct_ge80,N_ge90,Pct_ge90,N_ge95,Pct_ge95,N_ge99,Pct_ge99,N_ge100,Pct_ge100,N_igual100,N_acima100,Pct_observada_ge95_no_universo
DF,2022,Eleitos,gasto_pct,8.0,8.0,0.0,50.52108415890633,40.5381834615311,91.46056992440214,91.46056992440214,91.46056992440214,91.46056992440214,8.0,100.0,4.0,50.0,1.0,12.5,1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,2022,Todos,gasto_pct,185.0,162.0,23.0,16.173768888189095,7.879656379198117,53.25456050581663,65.42000789763173,84.20920960366047,87.21019790472091,71.0,43.82716049382716,18.0,11.11111111111111,4.0,2.4691358024691357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,2022,Eleitos,gasto_pct,10.0,10.0,0.0,52.31868932015226,54.22778430939841,78.0457211849024,83.60720036825352,83.60720036825352,83.60720036825352,10.0,100.0,6.0,60.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO,2022,Todos,gasto_pct,342.0,322.0,20.0,11.68642576207427,2.651663048915178,32.96268761727283,58.65397633467541,89.27299827780102,95.71118749175862,86.0,26.70807453416149,24.0,7.453416149068323,8.0,2.484472049689441,3.0,0.9316770186335404,1.0,0.3105590062111801,0.0,0.0,0.0,0.0,0.0,0.0,0.29239766081871343
GO,2022,Eleitos,gasto_pct,17.0,17.0,0.0,61.99083004206721,67.98940397561141,91.01631121893509,95.71118749175862,95.71118749175862,95.71118749175862,16.0,94.11764705882354,11.0,64.70588235294117,6.0,35.294117647058826,2.0,11.764705882352942,1.0,5.882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,5.882352941176471
MA,2022,Todos,gasto_pct,324.0,273.0,51.0,11.980222458230024,3.8098941188035775,37.301006314500874,62.45211249749113,91.83994423070831,94.73921566651589,77.0,28.205128205128204,18.0,6.593406593406593,9.0,3.2967032967032965,4.0,1.465201465201465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,2022,Eleitos,gasto_pct,18.0,18.0,0.0,59.598715278752906,59.543021673111305,91.83994423070831,94.73921566651589,94.73921566651589,94.73921566651589,18.0,100.0,11.0,61.111111111111114,7.0,38.888888888888886,3.0,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MG,2022,Todos,gasto_pct,1035.0,939.0,96.0,9.690682546587688,1.5981810432642634,30.926117402394084,64.01354701634973,93.8673668502699,99.18233788919657,190.0,20.23429179978701,64.0,6.815761448349308,27.0,2.8753993610223643,15.0,1.597444089456869,7.0,0.7454739084132055,1.0,0.10649627263045794,0.0,0.0,0.0,0.0,0.6763285024154589
MG,2022,Eleitos,gasto_pct,53.0,53.0,0.0,63.796496722837304,68.34548493687315,94.34141458120587,96.91939255043549,99.18233788919657,99.18233788919657,52.0,98.11320754716981,38.0,71.69811320754717,18.0,33.9622641509434,10.0,18.867924528301888,5.0,9.433962264150944,1.0,1.8867924528301887,0.0,0.0,0.0,0.0,9.433962264150944
MS,2022,Todos,gasto_pct,148.0,140.0,8.0,11.444359172692517,3.7772158156892455,28.06347192078753,48.69910211053799,87.10171021972542,88.80475334211872,43.0,30.714285714285715,7.0,5.0,4.0,2.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
