Ano,UF,Partido,C,NECr,K,Massa de recursos %,Amplitude %,Distância relativa no corte %,Fronteira válida,Empate na fronteira,Candidatos com peso fracionário
2018,DF,PR,5,2.201461309855023,2,95.08203432852625,40.0,91.09091719007529,True,False,0
2018,DF,PRB,3,1.1823617364982393,1,91.71465841429458,33.33333333333333,92.84067391364206,True,False,0
2018,DF,PROS,7,3.4529961209172026,3,84.03098762353228,42.857142857142854,50.27185724407515,True,False,0
2018,DF,PRP,9,1.8021351607789486,2,91.32991899278693,22.22222222222222,71.73588000000001,True,False,0
2018,DF,PRTB,5,4.02644299118567,4,97.47899159663865,80.0,86.95652173913044,True,False,0
2018,DF,PSB,2,1.8741730581001421,2,100.0,100.0,,False,False,0
2018,DF,PSC,4,3.4901482125620324,3,81.68815731570076,75.0,8.811450098154332,True,False,0
2018,DF,PSD,1,1.0,1,100.0,100.0,,False,False,0
2018,DF,PSDB,8,4.654616118909267,5,82.12163634324256,62.5,4.30622009569378,True,False,0
2018,DF,PSL,3,2.3270841297010096,2,89.29485647974333,66.66666666666666,69.1956393635828,True,False,0
2018,DF,PSOL,15,6.373153765141241,6,86.95877897160054,40.0,77.40303467246946,True,False,0
2018,DF,PSTU,1,1.0,1,100.0,100.0,,False,False,0
2018,DF,PT,16,3.319497168286697,3,85.36138061711365,18.75,81.32832080200501,True,False,0
2018,DF,PTB,1,1.0,1,100.0,100.0,,False,False,0
2018,DF,PTC,6,1.5432098765432098,2,84.0,33.33333333333333,0.0,True,True,5
2018,DF,PV,2,1.5480725661317998,2,100.0,100.0,,False,False,0
2018,DF,REDE,6,1.0357079375111093,1,98.2532751091703,16.666666666666664,99.11111111111111,True,False,0
2018,DF,SOLIDARIEDADE,1,1.0,1,100.0,100.0,,False,False,0
2018,ES,AVANTE,2,1.9999731854885345,2,100.0,100.0,,False,False,0
2018,ES,DC,11,8.980873830739938,9,100.0,81.81818181818183,100.0,True,False,0
2018,ES,DEM,2,1.0,1,100.0,50.0,100.0,True,False,0
2018,ES,MDB,4,1.107554882621534,1,94.95328024437383,25.0,97.19769784466708,True,False,0
2018,ES,NOVO,6,6.0,6,100.0,100.0,,False,False,0
2018,ES,PATRI,1,,0,,0.0,,False,False,0
2018,ES,PC DO B,1,1.0,1,100.0,100.0,,False,False,0
2018,ES,PDT,5,1.1762816331711785,1,92.10418995108151,20.0,97.14243544797397,True,False,0
2018,ES,PHS,3,2.0,2,100.0,66.66666666666666,100.0,True,False,0
2018,ES,PMB,5,3.658459028321124,4,94.66467481192979,80.0,60.0,True,False,0
2018,ES,PMN,1,1.0,1,100.0,100.0,,False,False,0
2018,ES,PODE,6,6.0,6,100.0,100.0,,False,False,0
2018,ES,PP,7,3.4323881647566075,3,82.05157622566837,42.857142857142854,5.9638904074097345,True,False,0
2018,ES,PPL,1,1.0,1,100.0,100.0,,False,False,0
2018,ES,PPS,5,3.344857398685853,3,89.83496193281343,60.0,48.6357712200268,True,False,0
2018,ES,PR,3,1.9364220512360235,2,99.74079670916332,66.66666666666666,99.35399503135615,True,False,0
