Ano,Partido,Perfil,Candidatos com perfil,Perfil no núcleo (ponderado),Núcleo válido (ponderado),Ausência no núcleo (ponderada),Composição do núcleo %,Composição fora %,Entrada no núcleo entre candidatos do perfil %
2018,DC,Pessoas pretas ou pardas,90,46.503246753246756,98.0,0.0,47.45229260535383,44.38444208852371,51.670274170274176
2018,DEM,Eleito federal no pleito anterior,16,16.0,59.0,0.0,27.11864406779661,0.0,100.0
2018,DEM,"Vitória federal mais antiga, sem vitória no pleito anterior",12,12.0,59.0,0.0,20.338983050847457,0.0,100.0
2018,DEM,Vitória anterior para deputado estadual/distrital,15,14.0,59.0,0.0,23.728813559322035,0.9174311926605505,93.33333333333333
2018,DEM,Vitória anterior para prefeito,0,0.0,59.0,0.0,0.0,0.0,
2018,DEM,Vitória anterior para vereador,5,2.0,59.0,0.0,3.389830508474576,2.7522935779816513,40.0
2018,DEM,Votação histórica ≥ 10% do QE,44,40.0,59.0,0.0,67.79661016949153,3.669724770642202,90.9090909090909
2018,DEM,Alguma vitória eleitoral anterior,40,36.0,59.0,0.0,61.016949152542374,3.669724770642202,90.0
2018,DEM,Sem vitória nem votação relevante registrada,121,18.0,59.0,0.0,30.508474576271187,94.4954128440367,14.87603305785124
2018,DEM,Mulheres,49,12.0,59.0,0.0,20.338983050847457,33.944954128440365,24.489795918367346
2018,DEM,Pessoas pretas ou pardas,62,12.0,59.0,0.0,20.338983050847457,45.87155963302752,19.35483870967742
2018,MDB,Eleito federal no pleito anterior,34,34.0,86.0,0.0,39.53488372093023,0.0,100.0
2018,MDB,"Vitória federal mais antiga, sem vitória no pleito anterior",16,13.0,86.0,0.0,15.116279069767442,1.3761467889908257,81.25
