ano_eleicao,sg_uf,sg_partido,nr_candidato,nm_candidato,comp_rrd,comp_texto,comp_cod_ok,comp_cod_kf,vit_texto,qe_texto,vit_prefeito_rrd,vit_prefeito_ok,vit_distrital,qe_majoritario,qe_rrd,qe_prop_ok,eleito,vr_receita_recursos_partidos
2018,ES,DC,2757,JOVANIL ALMEIDA COUTINHO,False,False,False,False,False,False,False,False,False,False,False,False,0,4157.91
2018,ES,DC,2780,AURELIANO PIRES FILHO,False,False,False,False,False,False,False,False,False,False,False,False,0,4157.91
2018,ES,DC,2788,RODRIGO BARBOSA RODRIGUES,False,False,False,False,False,False,False,False,False,False,False,False,0,
2018,ES,DC,2799,WANDERLEY HENRIQUE WOLFFGRAMM,False,False,False,False,False,False,False,False,False,False,False,False,0,4157.91
2018,ES,DEM,2500,NORMA AYUB ALVES,True,True,True,True,True,True,False,True,False,True,True,True,1,1650000.0
2018,ES,DEM,2551,ELOILSOM CAETANO SABADINE,False,False,False,False,False,False,False,False,False,False,False,False,0,
2018,ES,MDB,1512,JOÃO LUIZ COSER,False,False,False,False,False,False,False,False,False,False,False,False,0,
2018,ES,MDB,1515,WELINGTON COIMBRA,True,True,True,True,True,True,False,False,False,False,True,True,0,2387918.8
2018,ES,MDB,1555,WERISON RISPERI,False,False,False,False,False,False,False,False,False,False,False,False,0,60000.0
2018,ES,MDB,1566,ALCIONE TONINI DA SILVA,False,False,False,False,False,False,False,False,False,False,False,False,0,66916.7
2018,ES,NOVO,3000,RICARDO SMARZARO DA SILVA,False,False,False,False,False,False,False,False,False,False,False,False,0,1813.4399999999998
2018,ES,NOVO,3003,JADIR EDUARDO SOUZA LUCAS,False,False,False,False,False,False,False,False,False,False,False,False,0,1813.4399999999998
2018,ES,NOVO,3010,MARIA RAQUEL GOMES GERLIN PUGGINA,False,False,False,False,False,False,False,False,False,False,False,False,0,1813.4399999999998
2018,ES,NOVO,3030,JOSE ANTONIO VERVLOET DO AMARAL,False,False,False,False,False,False,False,False,False,False,False,False,0,1813.4399999999998
2018,ES,NOVO,3050,FABYANNA PONTINI MIRANDA PEREIRA,False,False,False,False,False,False,False,False,False,False,False,False,0,1813.4399999999998
2018,ES,NOVO,3066,ALEXANDRE MAGNO DE ANDRADE,False,False,False,False,False,False,False,False,False,False,False,False,0,1813.4399999999998
2018,ES,PATRI,5123,OTAVIO CORREA DE MEIRELES FILHO,False,False,False,False,False,False,False,False,False,False,False,False,0,
2018,ES,PC do B,6565,GIVALDO VIEIRA DA SILVA,True,True,True,True,True,True,False,False,False,False,True,True,0,1063606.81
2018,ES,PDT,1200,LEONARDO DEPTULSKI,True,True,True,True,True,False,True,True,False,True,True,False,0,20000.0
2018,ES,PDT,1210,LUIZ ROBERTO DA SILVA,False,False,False,False,False,False,False,False,False,False,False,False,0,20000.0
2018,ES,PDT,1212,ANTONIO SERGIO ALVES VIDIGAL,True,True,True,True,True,True,False,True,False,True,True,True,1,699896.7
2018,ES,PDT,1221,OSMANDO MARCELO DE QUADROS PORTELLA,False,False,False,False,False,False,False,False,False,False,False,False,0,5000.0
2018,ES,PDT,1233,ERONDINA MARIA GOMES,False,False,False,False,False,False,False,False,False,False,False,False,0,15000.0
2018,ES,PHS,3100,VALDOMIRO MOREIRA DA SILVA,False,False,False,False,False,False,False,False,False,False,False,False,0,
2018,ES,PHS,3133,CARLOS ALBERTO FORESTI,False,False,False,False,False,False,False,False,False,False,False,False,0,50000.0
2018,ES,PHS,3177,ELY BLUNCK SILVEIRA,False,False,False,False,False,False,False,False,False,False,False,False,0,50000.0
2018,ES,PMB,3500,ANTONIO BELMIRO GONCALVES,False,False,False,False,False,False,False,False,False,False,False,False,0,5000.0
2018,ES,PMB,3534,SILVIO TEIXEIRA LEITE,False,False,False,False,False,False,False,False,False,False,False,False,0,2000.0
2018,ES,PMB,3535,JACQUELINE ALVES NONATO,False,False,False,False,False,False,False,False,False,False,False,False,0,15000.0
2018,ES,PMB,3555,HERMANN MORAES MIRINDIBA,False,False,False,False,False,False,False,False,False,False,False,False,0,5486.0
2018,ES,PMB,3577,MICHELLE ELAINE DE OLIVEIRA,False,False,False,False,False,False,False,False,False,False,False,False,0,10000.0
2018,ES,PMN,3300,ANDERSON CYRILLO RODRIGUES,False,False,False,False,False,False,False,False,False,False,False,False,0,300.0
2018,ES,PODE,1905,PATRICIA MESQUIATI DE OLIVEIRA QUEIROZ,False,False,False,False,False,False,False,False,False,False,False,False,0,200.0
2018,ES,PODE,1907,JULIANO NASCIMENTO BROETTO,False,False,False,False,False,False,False,False,False,False,False,False,0,200.0
2018,ES,PODE,1912,RENATA SANTOS MORAES,False,False,False,False,False,False,False,False,False,False,False,False,0,200.0
2018,ES,PODE,1919,LEDIR DA SILVA PORTO,True,True,True,True,False,True,False,False,False,True,True,True,0,200.0
2018,ES,PODE,1970,EDICARLOS GIRALDI GELAIN,False,False,False,False,False,False,False,False,False,False,False,False,0,200.0
2018,ES,PODE,1999,SONIA MARIA BUENO DA VITORIA,False,False,False,False,False,False,False,False,False,False,False,False,0,200.0
2018,ES,PP,1111,MAX DAIBERT DE CASTRO SALES,False,False,False,False,False,False,False,False,False,False,False,False,0,206300.0
2018,ES,PP,1112,FAYDA BELO DA COSTA GOMES,False,False,False,False,False,False,False,False,False,False,False,False,0,173755.0
2018,ES,PP,1122,VERINA DA PENHA RODRIGUES,False,False,False,False,False,False,False,False,False,False,False,False,0,46112.5
2018,ES,PP,1133,CATARINA DOS SANTOS FERREIRA FELIPE,False,False,False,False,False,False,False,False,False,False,False,False,0,66112.5
2018,ES,PP,1140,JONAS NOGUEIRA DIAS JUNIOR,False,False,False,False,False,False,False,False,False,False,False,False,0,219383.81
2018,ES,PP,1143,EVAIR VIEIRA DE MELO,False,False,True,False,False,False,False,False,False,True,False,False,1,1044203.0
2018,ES,PP,1145,MARCUS ANTÔNIO VICENTE,True,True,True,True,True,True,False,False,False,False,True,True,0,986881.0
2018,ES,PPL,5400,VASCO ALVES DE OLIVEIRA JUNIOR,True,True,True,True,False,True,False,False,False,True,True,True,0,16000.0
2018,ES,PPS,2300,LEONIL DIAS DA SILVA,False,False,False,False,False,False,False,False,False,False,False,False,0,150000.0
