ano_eleicao,sg_uf,nr_candidato,nm_candidato,sg_partido_norm,eleito,partido,proprios,pessoas_fisicas,coletivo_internet,demais,nao_partidarios,privado_proprio,privado_ampliado,necr,lista_sem_recursos,top_piso,top_arredondado,top_teto,alto_nao_partidarios,alto_privado_proprio
2022,PE,1100,LUIZ EDUARDO DE QUEIROZ CAMPOS DA FONTE ALBUQUERQUE,PP,1,2771080.0,0.0,11.0,0.0,0.0,11.0,11.0,11.0,7.868132857611351,False,1.0,1.0,1.0,False,False
2022,PE,1111,EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA,PP,1,2762520.0,0.0,54000.0,0.0,0.0,54000.0,54000.0,54000.0,7.868132857611351,False,1.0,1.0,1.0,False,False
2022,PE,1122,ERICA CLARISSA BORBA CORDEIRO DE MOURA,PP,1,2700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.868132857611351,False,1.0,1.0,1.0,False,False
2022,PE,1190,FERNANDO MONTEIRO DE ALBUQUERQUE,PP,1,2550000.0,0.0,297559.72,0.0,0.0,297559.72,297559.72,297559.72,7.868132857611351,False,1.0,1.0,1.0,True,True
2022,PE,4004,FELIPE AUGUSTO LYRA CARRERAS,PSB,1,2500000.0,4000.0,674304.0,0.0,0.0,678304.0,678304.0,678304.0,8.169501155595063,False,1.0,1.0,1.0,True,True
2022,PE,4011,LUCAS CAVALCANTI RAMOS,PSB,1,1233109.56,30000.0,501839.0,0.0,50000.0,581839.0,531839.0,531839.0,8.169501155595063,False,1.0,1.0,1.0,True,True
2022,PE,4019,GUILHERME ARISTOTELES UCHOA CAVALCANTI PESSOA DE MELO JUNIOR,PSB,1,1020409.56,125000.0,15000.0,0.0,0.0,140000.0,140000.0,140000.0,8.169501155595063,False,1.0,1.0,1.0,False,True
2022,PE,4040,PEDRO HENRIQUE DE ANDRADE LIMA CARNEIRO CAMPOS,PSB,1,2559059.56,0.0,290500.0,0.0,0.0,290500.0,290500.0,290500.0,8.169501155595063,False,1.0,1.0,1.0,True,True
2022,PE,4044,JOSE ERIBERTO MEDEIROS DE OLIVEIRA,PSB,1,1008209.55,52250.0,0.0,0.0,0.0,52250.0,52250.0,52250.0,8.169501155595063,False,1.0,1.0,1.0,False,False
2022,PE,1314,JOSÉ CARLOS VERAS DOS SANTOS,PT,1,1800000.0,2000.0,500.0,0.0,0.0,2500.0,2500.0,2500.0,6.390713176560138,False,1.0,1.0,1.0,False,False
2022,PE,4333,CLODOALDO MAGALHÃES OLIVEIRA LYRA,PV,1,801989.0,30000.0,47800.0,0.0,0.0,77800.0,77800.0,77800.0,1.9129599009011196,False,1.0,1.0,1.0,False,False
2022,PE,1818,TÚLIO GADELHA SALES DE MELO,REDE,1,2416378.7,10000.0,64320.0,0.0,0.0,74320.0,74320.0,74320.0,2.252750502868329,False,1.0,1.0,1.0,False,False
2022,PE,1000,AUGUSTO RODRIGUES COUTINHO DE MELO,REPUBLICANOS,1,1780500.0,0.0,172526.8,0.0,0.0,172526.8,172526.8,172526.8,8.749965219284935,False,1.0,1.0,1.0,True,True
2022,PE,1010,SILVIO SERAFIM COSTA FILHO,REPUBLICANOS,1,2174000.0,0.0,446000.0,0.0,38348.47,484348.47,446000.0,446000.0,8.749965219284935,False,1.0,1.0,1.0,True,True
2022,PE,7713,MARIA LEAL ARRAES DE ALENCAR,SOLIDARIEDADE,1,3170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8622651131772,False,1.0,1.0,1.0,False,False
2022,PE,4401,FERNANDO BEZERRA DE SOUZA COELHO FILHO,UNIAO,1,1627742.44,0.0,1092500.0,0.0,0.0,1092500.0,1092500.0,1092500.0,20.681228712693365,False,1.0,1.0,1.0,True,True
2022,PE,4433,JOSÉ MENDONÇA BEZERRA FILHO,UNIAO,1,1861742.42,0.0,1470667.67,0.0,0.0,1470667.67,1470667.67,1470667.67,20.681228712693365,False,1.0,1.0,1.0,True,True
2022,PE,4444,LUCIANO CALDAS BIVAR,UNIAO,1,2602114.73,0.0,8000.0,0.0,329.16,8329.16,8000.0,8000.0,20.681228712693365,False,1.0,1.0,1.0,False,False
2022,PI,1110,ÁTILA DE MELO LIRA,PP,1,2666666.67,240330.0,15991.6,0.0,4632.83,260954.43,256321.6,256321.6,7.069032929455043,False,1.0,1.0,1.0,True,True
2022,PI,1111,JULIO FERRAZ ARCOVERDE,PP,1,2089250.0,4300.0,243414.35,0.0,3581.25,251295.6,247714.35,247714.35,7.069032929455043,False,1.0,1.0,1.0,True,True
2022,PI,5510,JOSÉ DIAS DE CASTRO NETO,PSD,1,1800000.0,0.0,171534.84,0.0,0.0,171534.84,171534.84,171534.84,5.7248031236954375,False,1.0,1.0,1.0,True,True
2022,PI,5515,MARCOS AURELIO PADUA RIBEIRO GONÇALVES DE SAMPAIO,PSD,1,1800000.0,16208.98,45600.0,0.0,0.0,61808.979999999996,61808.979999999996,61808.979999999996,5.7248031236954375,False,1.0,1.0,1.0,False,False
2022,PI,5555,JULIO CÉSAR DE CARVALHO LIMA,PSD,1,1800000.0,19260.03,213769.35,0.0,0.0,233029.38,233029.38,233029.38,5.7248031236954375,False,1.0,1.0,1.0,True,True
2022,PI,1310,FLORENTINO ALVES VERAS NETO,PT,1,66000.0,0.0,801505.75,0.0,175.29000000000002,801681.04,801505.75,801505.75,4.6137404720388675,False,0.0,0.0,0.0,True,True
2022,PI,1311,REJANE RIBEIRO SOUSA DIAS,PT,1,2310000.0,75000.0,325983.65,100.0,1706.9,402790.55000000005,400983.65,401083.65,4.6137404720388675,False,1.0,1.0,1.0,True,True
