ano_eleicao,sg_uf,sg_partido_norm,regra,desfecho,n,k,total,hits,expected
2018,AC,PV,nucleo_80,competitividade,2,1.0,1.0,1.0,0.5
2018,AC,PV,nucleo_80,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PV,acima_divisao_igual,competitividade,2,1.0,1.0,1.0,0.5
2018,AC,PV,acima_divisao_igual,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,REDE,top_necr,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,REDE,top_necr,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,REDE,nucleo_80,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,REDE,nucleo_80,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,REDE,acima_divisao_igual,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,REDE,acima_divisao_igual,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,SOLIDARIEDADE,top_necr,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,SOLIDARIEDADE,top_necr,eleicao,1,1.0,1.0,1.0,1.0
2018,AC,SOLIDARIEDADE,nucleo_80,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,SOLIDARIEDADE,nucleo_80,eleicao,1,1.0,1.0,1.0,1.0
2018,AC,SOLIDARIEDADE,acima_divisao_igual,competitividade,1,0.0,1.0,0.0,0.0
2018,AC,SOLIDARIEDADE,acima_divisao_igual,eleicao,1,0.0,1.0,0.0,0.0
2018,AL,AVANTE,top_necr,competitividade,1,1.0,1.0,1.0,1.0
2018,AL,AVANTE,top_necr,eleicao,1,1.0,0.0,0.0,0.0
2018,AL,AVANTE,nucleo_80,competitividade,1,1.0,1.0,1.0,1.0
2018,AL,AVANTE,nucleo_80,eleicao,1,1.0,0.0,0.0,0.0
2018,AL,AVANTE,acima_divisao_igual,competitividade,1,0.0,1.0,0.0,0.0
2018,AL,AVANTE,acima_divisao_igual,eleicao,1,0.0,0.0,0.0,0.0
2018,AL,DC,top_necr,competitividade,2,2.0,0.0,0.0,0.0
2018,AL,DC,top_necr,eleicao,2,2.0,0.0,0.0,0.0
2018,AL,DC,nucleo_80,competitividade,2,2.0,0.0,0.0,0.0
2018,AL,DC,nucleo_80,eleicao,2,2.0,0.0,0.0,0.0
2018,AL,DC,acima_divisao_igual,competitividade,2,1.0,0.0,0.0,0.0
2018,AL,DC,acima_divisao_igual,eleicao,2,1.0,0.0,0.0,0.0
2018,AL,DEM,top_necr,competitividade,2,0.0,0.0,0.0,0.0
2018,AL,DEM,top_necr,eleicao,2,0.0,0.0,0.0,0.0
2018,AL,DEM,nucleo_80,competitividade,2,0.0,0.0,0.0,0.0
2018,AL,DEM,nucleo_80,eleicao,2,0.0,0.0,0.0,0.0
2018,AL,DEM,acima_divisao_igual,competitividade,2,0.0,0.0,0.0,0.0
2018,AL,DEM,acima_divisao_igual,eleicao,2,0.0,0.0,0.0,0.0
2018,AL,MDB,top_necr,competitividade,3,2.0,1.0,0.0,0.6666666666666666
2018,AL,MDB,top_necr,eleicao,3,2.0,1.0,0.0,0.6666666666666666
2018,AL,MDB,nucleo_80,competitividade,3,2.0,1.0,0.0,0.6666666666666666
2018,AL,MDB,nucleo_80,eleicao,3,2.0,1.0,0.0,0.6666666666666666
2018,AL,MDB,acima_divisao_igual,competitividade,3,2.0,1.0,0.0,0.6666666666666666
2018,AL,MDB,acima_divisao_igual,eleicao,3,2.0,1.0,0.0,0.6666666666666666
2018,AL,NOVO,top_necr,competitividade,3,2.0,0.0,0.0,0.0
2018,AL,NOVO,top_necr,eleicao,3,2.0,0.0,0.0,0.0
2018,AL,NOVO,nucleo_80,competitividade,3,2.0,0.0,0.0,0.0
2018,AL,NOVO,nucleo_80,eleicao,3,2.0,0.0,0.0,0.0
2018,AL,NOVO,acima_divisao_igual,competitividade,3,1.0,0.0,0.0,0.0
2018,AL,NOVO,acima_divisao_igual,eleicao,3,1.0,0.0,0.0,0.0
2018,AL,PATRI,top_necr,competitividade,3,0.0,0.0,0.0,0.0
2018,AL,PATRI,top_necr,eleicao,3,0.0,0.0,0.0,0.0
2018,AL,PATRI,nucleo_80,competitividade,3,0.0,0.0,0.0,0.0
2018,AL,PATRI,nucleo_80,eleicao,3,0.0,0.0,0.0,0.0
2018,AL,PATRI,acima_divisao_igual,competitividade,3,0.0,0.0,0.0,0.0
2018,AL,PATRI,acima_divisao_igual,eleicao,3,0.0,0.0,0.0,0.0
2018,AL,PC DO B,top_necr,competitividade,4,2.0,0.0,0.0,0.0
2018,AL,PC DO B,top_necr,eleicao,4,2.0,0.0,0.0,0.0
