Ano,UF,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2022,CE,NECr / E (E > 0),7,21,3.0188302580542574,1.8654246092083637,1.371897739171178,1.777651556195861,2.587626368665236,3.390535563081433,6.835913459988796
2022,CE,NECr − E,26,2,5.888058366240299,5.119048673348841,1.0,1.8951845385805741,3.8360854556762956,8.707659565968354,16.816156670746636
2022,CE,Cobertura Top-NECr por lista (%),7,21,94.28571428571429,15.118578920369087,60.0,100.0,100.0,100.0,100.0
2022,CE,Precisão Top-NECr por lista (%),26,2,10.229524748755516,18.957330034081032,0.0,0.0,0.0,10.714285714285715,60.0
2022,DF,Candidatos (C),30,0,6.566666666666666,2.7628487713469467,1.0,4.25,8.0,9.0,9.0
2022,DF,Competitivos (F),30,0,0.7,1.0875470659652642,0.0,0.0,0.0,1.75,3.0
2022,DF,Competitivos na lista (%),30,0,10.185185185185185,16.16968697237047,0.0,0.0,0.0,22.22222222222222,50.0
2022,DF,Bancada pré-eleitoral (Mp),30,0,0.26666666666666666,0.5832922809856748,0.0,0.0,0.0,0.0,2.0
2022,DF,Eleitos (E),30,0,0.26666666666666666,0.6914918072835209,0.0,0.0,0.0,0.0,3.0
2022,DF,NECr,30,0,4.033930695754482,2.3093943666942622,1.0,2.0180880810905277,3.6312218606692475,5.693684200341919,8.635317402287955
2022,DF,D = C − NECr,30,0,2.5327359709121846,2.084840585200075,0.0,0.5563545810791719,1.9789780401744739,4.135257907813253,7.587574894857357
2022,DF,Q = C / NECr,30,0,1.9753813367887354,1.2964383541559603,0.9999999999999998,1.1720646690389938,1.4609219009905017,2.121470423182783,6.372019278920333
2022,DF,NECr / Mp (Mp > 0),6,24,3.624619830067194,1.870147678174647,2.032768052553368,2.5809447383366,3.246900521236641,3.5218468709001103,7.248694753885331
2022,DF,NECr / E (E > 0),5,25,2.401974728783485,0.8372265260064609,1.4612567963872953,2.032768052553368,2.3362707989403533,2.444794703094549,3.734783292941858
2022,DF,NECr − E,30,0,3.767264029087815,2.3450508214417507,0.46125679638729533,1.8464317665233259,2.9754155027138482,5.318953241930261,8.635317402287955
2022,DF,Cobertura Top-NECr por lista (%),5,25,100.0,0.0,100.0,100.0,100.0,100.0,100.0
2022,DF,Precisão Top-NECr por lista (%),30,0,8.928571428571427,22.796062168432762,0.0,0.0,0.0,0.0,100.0
2022,ES,Candidatos (C),25,0,7.4,3.582364210034113,1.0,5.0,8.0,11.0,11.0
2022,ES,Competitivos (F),25,0,1.56,2.0223748416156684,0.0,0.0,0.0,3.0,6.0
2022,ES,Competitivos na lista (%),25,0,15.021645021645021,19.133513532995295,0.0,0.0,0.0,27.272727272727273,54.54545454545455
2022,ES,Bancada pré-eleitoral (Mp),25,0,0.4,0.8660254037844386,0.0,0.0,0.0,1.0,4.0
