Ano,Partido,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2022,PV,Candidatos (C),27,0,3.2222222222222223,2.4072539946735563,2.0,2.0,2.0,3.0,11.0
2022,PV,Competitivos (F),27,0,0.5555555555555556,0.6405126152203485,0.0,0.0,0.0,1.0,2.0
2022,PV,Competitivos na lista (%),27,0,16.283202394313506,19.48959560316099,0.0,0.0,0.0,33.333333333333336,50.0
2022,PV,Bancada pré-eleitoral (Mp),27,0,0.14814814814814814,0.36201399289824565,0.0,0.0,0.0,0.0,1.0
2022,PV,Eleitos (E),27,0,0.2222222222222222,0.42365927286816174,0.0,0.0,0.0,0.0,1.0
2022,PV,NECr,27,0,2.042550611793209,0.9533268661471843,1.0,1.4229176282551674,1.9129599009011198,1.9991078373735525,5.025736704331889
2022,PV,D = C − NECr,27,0,1.1796716104290133,1.7824781908550216,7.143500613260301e-08,0.1046687117435332,0.5387432036127047,1.4178187494686956,7.3949349104863344
2022,PV,Q = C / NECr,27,0,1.5708579637193887,0.6655902059489669,1.0000000357175043,1.0436066332885234,1.3686848231910052,1.8723989747119358,3.0512625228311574
2022,PV,NECr / Mp (Mp > 0),4,23,2.740416424571274,1.8185577457055102,1.2514026001614889,1.2893039955781544,2.3422631968958587,3.793375625888978,5.025736704331889
2022,PV,NECr / E (E > 0),6,21,1.9922156326386948,1.516590132791333,1.0,1.2640363986337109,1.3815972952188358,1.8000341247726637,5.025736704331889
2022,PV,NECr − E,27,0,1.8203283895709867,1.054301105968184,0.0,1.1105806312032565,1.8690379951495555,1.9991078373735525,4.025736704331889
2022,PV,Cobertura Top-NECr por lista (%),6,21,66.66666666666667,51.63977794943223,0.0,25.0,100.0,100.0,100.0
2022,PV,Precisão Top-NECr por lista (%),27,0,12.962962962962964,32.79479494521311,0.0,0.0,0.0,0.0,100.0
2022,REDE,Candidatos (C),25,0,6.96,6.809796864322264,1.0,3.0,4.0,8.0,27.0
2022,REDE,Competitivos (F),25,0,0.52,0.714142842854285,0.0,0.0,0.0,1.0,2.0
2022,REDE,Competitivos na lista (%),25,0,6.620919820919821,10.583521024915507,0.0,0.0,0.0,9.523809523809524,33.333333333333336
2022,REDE,Bancada pré-eleitoral (Mp),25,0,0.08,0.27688746209726917,0.0,0.0,0.0,0.0,1.0
2022,REDE,Eleitos (E),25,0,0.08,0.27688746209726917,0.0,0.0,0.0,0.0,1.0
2022,REDE,NECr,24,1,3.4905584842408035,2.973230848709861,1.0,1.8223179396962532,2.545561668511783,4.542642242468311,14.222963431454243
2022,REDE,D = C − NECr,24,1,3.6344415157591974,5.828127038127394,0.0,0.6649170728407883,1.5384347521728565,3.9834093658261325,24.124760467445142
2022,REDE,Q = C / NECr,24,1,2.2864061141127134,2.043793849979445,1.0,1.2215644636751999,1.6225,2.193051266815981,9.390521970184704
2022,REDE,NECr / Mp (Mp > 0),2,23,2.8472242967210866,0.8407129017419581,2.2527505028683286,2.549987399794708,2.8472242967210866,3.144461193647466,3.441698090573845
2022,REDE,NECr / E (E > 0),2,23,2.545561668511783,0.41409752166724845,2.2527505028683286,2.399156085690056,2.545561668511783,2.6919672513335104,2.838372834155238
2022,REDE,NECr − E,24,1,3.40722515090747,3.0139938780541997,1.0,1.5745339681703272,2.069677522088329,4.542642242468311,14.222963431454243
2022,REDE,Cobertura Top-NECr por lista (%),2,23,100.0,0.0,100.0,100.0,100.0,100.0,100.0
2022,REDE,Precisão Top-NECr por lista (%),24,1,3.4722222222222228,12.017666812654102,0.0,0.0,0.0,0.0,50.0
2022,REPUBLICANOS,Candidatos (C),27,0,18.85185185185185,15.84954186113836,7.0,9.0,11.0,21.5,68.0
2022,REPUBLICANOS,Competitivos (F),27,0,4.0,2.8956200345721097,1.0,2.5,3.0,5.0,15.0
