ano,uf,partido,C,total,NECr,k,E,F,hE,hF,esperado_E,esperado_F,empate,recebedores
2022,SC,CIDADANIA,5,3030477.7800000003,1.142737278574453,1,1,1,1.0,1.0,0.2,0.2,False,3
2022,SC,DC,2,82000.0,1.8299088311334877,2,0,0,0.0,0.0,0.0,0.0,False,2
2022,SC,MDB,16,6387288.0,5.263441797591031,5,3,5,3.0,3.0,0.9375,1.5625,False,16
2022,SC,NOVO,13,356189.52000000014,2.5031107604269383,3,1,2,0.0,1.0,0.23076923076923078,0.46153846153846156,False,13
2022,SC,PATRIOTA,16,1083500.0,10.92867798503555,11,0,4,0.0,3.0,0.0,2.75,False,15
2022,SC,PC DO B,2,555700.0,1.0273571560055546,1,0,0,0.0,0.0,0.0,0.0,False,2
2022,SC,PCO,1,3000.0,1.0,1,0,0,0.0,0.0,0.0,0.0,False,1
2022,SC,PDT,12,274945.87999999995,9.188368247177543,9,0,0,0.0,0.0,0.0,0.0,False,12
2022,SC,PL,15,6723796.28,4.750930791416097,5,6,5,4.0,2.5,2.0,1.6666666666666667,True,10
2022,SC,PODE,16,6345000.0,8.265424906714024,8,0,3,0.0,3.0,0.0,1.5,False,15
2022,SC,PP,17,6725000.0,4.642227519894069,5,0,3,0.0,3.0,0.0,0.8823529411764706,False,16
2022,SC,PROS,13,0.0,,0,0,0,0.0,0.0,0.0,0.0,False,0
2022,SC,PRTB,3,5500.0,2.469387755102041,2,0,0,0.0,0.0,0.0,0.0,False,3
2022,SC,PSB,17,4368091.67,6.869027294233329,7,0,3,0.0,2.0,0.0,1.2352941176470589,False,17
2022,SC,PSC,15,660000.0,5.635187580853818,6,0,2,0.0,1.0,0.0,0.8,False,14
2022,SC,PSD,13,11291400.0,6.385014983649962,6,2,6,2.0,6.0,0.9230769230769231,2.769230769230769,False,13
2022,SC,PSDB,9,4229572.53,1.7332358856736134,2,0,2,0.0,2.0,0.0,0.4444444444444444,False,8
2022,SC,PSOL,11,478989.70000000007,6.1812595560267365,6,0,0,0.0,0.0,0.0,0.0,False,11
2022,SC,PSTU,1,3211.0,1.0,1,0,0,0.0,0.0,0.0,0.0,False,1
2022,SC,PT,13,4846869.390000001,5.27034607470836,5,2,3,2.0,2.0,0.7692307692307693,1.1538461538461537,False,13
2022,SC,PTB,17,1602740.0,7.741671859585431,8,0,3,0.0,2.0,0.0,1.411764705882353,True,17
2022,SC,PV,2,699987.7,1.8142029942693494,2,0,0,0.0,0.0,0.0,0.0,False,2
2022,SC,REDE,6,59917.09,5.999942574632343,6,0,0,0.0,0.0,0.0,0.0,False,6
2022,SC,REPUBLICANOS,16,3634520.0100000002,10.165027661392719,10,0,2,0.0,1.0,0.0,1.25,False,16
2022,SC,SOLIDARIEDADE,12,1683000.0,2.236383274551557,2,0,1,0.0,1.0,0.0,0.16666666666666666,False,10
2022,SC,UNIAO,16,10809416.67,9.780468573922851,10,1,4,1.0,3.0,0.625,2.5,False,16
2022,SC,UP,1,44000.0,1.0,1,0,0,0.0,0.0,0.0,0.0,False,1
2022,SE,CIDADANIA,5,117290.23,2.3105421649339006,2,0,0,0.0,0.0,0.0,0.0,True,5
2022,SE,DC,9,81056.93,8.798918249829024,9,0,0,0.0,0.0,0.0,0.0,False,9
2022,SE,MDB,9,0.0,,0,0,0,0.0,0.0,0.0,0.0,False,0
2022,SE,PATRIOTA,8,435000.0,5.7822765469824295,6,0,1,0.0,1.0,0.0,0.75,False,8
2022,SE,PC DO B,2,438000.0,1.9154901451764283,2,0,0,0.0,0.0,0.0,0.0,False,2
2022,SE,PDT,9,1609574.3699999999,5.02016222089332,5,0,0,0.0,0.0,0.0,0.0,False,9
2022,SE,PL,7,2176000.0,3.435184594044006,3,1,2,1.0,2.0,0.42857142857142855,0.8571428571428571,False,7
2022,SE,PMN,8,212699.06,7.23365269303101,7,0,0,0.0,0.0,0.0,0.0,False,8
2022,SE,PODE,7,2274000.0,1.0451947619351767,1,0,0,0.0,0.0,0.0,0.0,False,3
2022,SE,PP,9,5815000.0,6.747696421533658,7,1,4,1.0,4.0,0.7777777777777778,3.111111111111111,False,9
2022,SE,PROS,5,0.0,,0,0,0,0.0,0.0,0.0,0.0,False,0
2022,SE,PSB,9,52950.0,2.8682305160344854,3,0,0,0.0,0.0,0.0,0.0,False,3
2022,SE,PSD,9,7492830.37,4.311710092202146,4,2,4,2.0,2.0,0.8888888888888888,1.7777777777777777,False,9
